task,artifact_bytes,offset,offset_fraction,byte_before,byte_after,outcome,detail
t1-0,59512,3584,0.060223,0xe8,0xe9,VERIFY_REJECTED,378586986757995978606699978598364151408222 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3648,0.061299,0x27,0x26,VERIFY_REJECTED,s rounds sumcheck output claim: 4924046986230915787038469740041441626276721318254752274675439766072641941353 at round: 2
t1-0,59512,3712,0.062374,0x85,0x84,VERIFY_REJECTED,952367532667366138306038977768725871626474 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3776,0.063449,0x6b,0x6a,VERIFY_REJECTED,835834381797755945488099243594130533572687 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3840,0.064525,0x00,0x01,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,3904,0.065600,0xed,0xec,VERIFY_REJECTED,082388192431823098526303594631179795640554 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,3968,0.066676,0xe1,0xe0,VERIFY_REJECTED,471745631472165224413174707077040855243129 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,4032,0.067751,0xcc,0xcd,VERIFY_REJECTED,409724418064339338374520251071187277751084 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,5951,0.099997,0x1e,0x1f,VERIFY_REJECTED,516907445435018927620095614132075365324452 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,11902,0.199993,0x2d,0x2c,VERIFY_REJECTED,376832357091594326966684594369823055332786 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,17854,0.300007,0x87,0x86,VERIFY_REJECTED,504047351018700862162007648172461161042316 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,23805,0.400003,0xca,0xcb,VERIFY_REJECTED,229813993380071985492062161311275445898593 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,29756,0.500000,0x84,0x85,VERIFY_REJECTED,s rounds sumcheck output claim: 3987684708617004938224774454325579254949252182883726493380960664577504584625 at round: 2
t1-0,59512,35707,0.599997,0xa7,0xa6,VERIFY_REJECTED,008746267565008772902678361978404438951679 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,41658,0.699993,0x04,0x05,VERIFY_REJECTED,/Projects/viaas-zkml/bench/data/negative-deepprove/scan-t1-0/probe.postcard[0m Error: Condition failed: `left == right`
t1-0,59512,47610,0.800007,0xb8,0xb9,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,53561,0.900003,0x00,0x01,VERIFY_REJECTED,390843733554426635154726823407138677709758 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,56536,0.949993,0x64,0x65,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,59480,0.999462,0x03,0x02,VERIFY_REJECTED,"N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ShiftCheckTable"
t1-0,59512,59481,0.999479,0x10,0x11,VERIFY_REJECTED,"N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ShiftCheckTable"
t1-0,59512,59482,0.999496,0x01,0x00,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,59483,0.999513,0x03,0x02,VERIFY_ACCEPTED,
t1-0,59512,59484,0.999530,0x06,0x07,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59485,0.999546,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59486,0.999563,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59487,0.999580,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59488,0.999597,0xfc,0xfd,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59489,0.999614,0x03,0x02,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59490,0.999630,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59491,0.999647,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59492,0.999664,0x80,0x81,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59493,0.999681,0xfc,0xfd,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59494,0.999698,0x03,0x02,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59495,0.999714,0x10,0x11,VERIFY_REJECTED,"equant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for SignedZeroCheckTable"
t1-0,59512,59496,0.999731,0x01,0x00,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,59497,0.999748,0x03,0x02,VERIFY_ACCEPTED,
t1-0,59512,59498,0.999765,0x04,0x05,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59499,0.999782,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59500,0.999798,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59501,0.999815,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59502,0.999832,0xfc,0xfd,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59503,0.999849,0x03,0x02,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59504,0.999866,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59505,0.999882,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59506,0.999899,0x80,0x81,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59507,0.999916,0xfc,0xfd,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59508,0.999933,0x03,0x02,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59509,0.999950,0x08,0x09,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59510,0.999966,0x01,0x00,VERIFY_REJECTED,"h ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,59512,59511,0.999983,0x03,0x02,VERIFY_ACCEPTED,
t1-a,116404,0,0.000000,0x01,0x00,VERIFY_ACCEPTED,
