task,family,position,detail,verdict
t1-0,proof_byte,12619,xor01_from36,VERIFY_REJECTED
t1-0,proof_byte,12620,xor01_fromed,VERIFY_REJECTED
t1-0,proof_byte,12621,xor01_from9b,VERIFY_REJECTED
t1-0,proof_byte,12622,xor01_from27,VERIFY_REJECTED
t1-0,proof_byte,12623,xor01_from9c,VERIFY_REJECTED
t1-0,proof_byte,12624,xor01_from7e,VERIFY_REJECTED
t1-0,proof_byte,12625,xor01_fromea,VERIFY_REJECTED
t1-0,proof_byte,12626,xor01_fromae,VERIFY_REJECTED
t1-0,proof_byte,12627,xor01_fromd6,VERIFY_REJECTED
t1-0,proof_byte,12628,xor01_fromed,VERIFY_REJECTED
t1-0,proof_byte,12629,xor01_fromca,VERIFY_REJECTED
t1-0,proof_byte,12630,xor01_from1d,VERIFY_REJECTED
t1-0,proof_byte,12631,xor01_fromb0,VERIFY_REJECTED
t1-0,proof_byte,12632,xor01_fromdb,VERIFY_REJECTED
t1-0,proof_byte,12633,xor01_from5a,VERIFY_REJECTED
t1-0,proof_byte,12634,xor01_fromac,VERIFY_REJECTED
t1-0,proof_byte,12635,xor01_fromb3,VERIFY_REJECTED
t1-0,proof_byte,12636,xor01_from61,VERIFY_REJECTED
t1-0,proof_byte,12637,xor01_frombc,VERIFY_REJECTED
t1-0,proof_byte,12638,xor01_from1e,VERIFY_REJECTED
t1-0,proof_byte,12639,xor01_frome6,VERIFY_REJECTED
t1-0,proof_byte,12640,xor01_froma1,VERIFY_REJECTED
t1-0,proof_byte,12641,xor01_from7a,VERIFY_REJECTED
t1-0,proof_byte,12642,xor01_from3a,VERIFY_REJECTED
t1-0,proof_byte,12643,xor01_froma5,VERIFY_REJECTED
t1-0,proof_byte,12644,xor01_fromda,VERIFY_REJECTED
t1-0,proof_byte,12645,xor01_from5f,VERIFY_REJECTED
t1-0,proof_byte,12646,xor01_from31,VERIFY_REJECTED
t1-0,proof_byte,12647,xor01_fromd7,VERIFY_REJECTED
t1-0,proof_byte,12648,xor01_fromad,VERIFY_REJECTED
t1-0,proof_byte,12649,xor01_fromc7,VERIFY_REJECTED
t1-0,proof_byte,12650,xor01_from7e,VERIFY_REJECTED
t1-0,proof_byte,12651,xor01_froma4,VERIFY_REJECTED
t1-0,proof_byte,12652,xor01_from27,VERIFY_REJECTED
t1-0,proof_byte,12653,xor01_fromad,VERIFY_REJECTED
t1-0,proof_byte,12654,xor01_from1e,VERIFY_REJECTED
t1-0,proof_byte,12655,xor01_fromd1,VERIFY_REJECTED
t1-0,proof_byte,12656,xor01_from06,VERIFY_REJECTED
t1-0,proof_byte,12657,xor01_fromeb,VERIFY_REJECTED
t1-0,proof_byte,12658,xor01_fromd4,VERIFY_REJECTED
t1-0,proof_byte,12659,xor01_from3b,VERIFY_REJECTED
t1-0,proof_byte,12660,xor01_frombc,VERIFY_REJECTED
t1-0,proof_byte,12661,xor01_from22,VERIFY_REJECTED
t1-0,proof_byte,12662,xor01_frome7,VERIFY_REJECTED
t1-0,proof_byte,12663,xor01_fromb4,VERIFY_REJECTED
t1-0,proof_byte,12664,xor01_frome3,VERIFY_REJECTED
t1-0,proof_byte,12665,xor01_fromb8,VERIFY_REJECTED
t1-0,proof_byte,12666,xor01_from2f,VERIFY_REJECTED
t1-0,proof_byte,12667,xor01_from71,VERIFY_REJECTED
t1-0,proof_byte,12668,xor01_fromc0,VERIFY_REJECTED
t1-0,proof_byte,12669,xor01_from05,VERIFY_REJECTED
t1-0,proof_byte,12670,xor01_fromea,VERIFY_REJECTED
t1-0,proof_byte,12671,xor01_from43,VERIFY_REJECTED
t1-0,proof_byte,12672,xor01_from6b,VERIFY_REJECTED
t1-0,proof_byte,12673,xor01_fromcd,VERIFY_REJECTED
t1-0,proof_byte,12674,xor01_fromba,VERIFY_REJECTED
t1-0,proof_byte,12675,xor01_from7a,VERIFY_REJECTED
t1-0,proof_byte,12676,xor01_fromd7,VERIFY_REJECTED
t1-0,proof_byte,12677,xor01_fromd8,VERIFY_REJECTED
t1-0,proof_byte,12678,xor01_fromaa,VERIFY_REJECTED
t1-0,proof_byte,12679,xor01_fromf5,VERIFY_REJECTED
t1-0,proof_byte,12680,xor01_fromc1,VERIFY_REJECTED
t1-0,proof_byte,12681,xor01_from2b,VERIFY_REJECTED
t1-0,proof_byte,12682,xor01_fromb2,VERIFY_REJECTED
t1-0,proof_byte,12683,xor01_from76,VERIFY_REJECTED
t1-0,proof_byte,12684,xor01_fromdd,VERIFY_REJECTED
t1-0,proof_byte,12685,xor01_frombe,VERIFY_REJECTED
t1-0,proof_byte,12686,xor01_from0c,VERIFY_REJECTED
t1-0,proof_byte,12687,xor01_fromdc,VERIFY_REJECTED
t1-0,proof_byte,12688,xor01_fromce,VERIFY_REJECTED
t1-0,proof_byte,12689,xor01_from41,VERIFY_REJECTED
t1-0,proof_byte,12690,xor01_fromec,VERIFY_REJECTED
t1-0,proof_byte,12691,xor01_from18,VERIFY_REJECTED
t1-0,proof_byte,12692,xor01_froma8,VERIFY_REJECTED
t1-0,proof_byte,12693,xor01_from28,VERIFY_REJECTED
t1-0,proof_byte,12694,xor01_frombe,VERIFY_REJECTED
t1-0,proof_byte,12695,xor01_from40,VERIFY_REJECTED
t1-0,proof_byte,12696,xor01_from85,VERIFY_REJECTED
t1-0,proof_byte,12697,xor01_frome5,VERIFY_REJECTED
t1-0,proof_byte,12698,xor01_fromac,VERIFY_REJECTED
t1-0,proof_byte,12699,xor01_fromfc,VERIFY_REJECTED
t1-0,proof_byte,12700,xor01_from26,VERIFY_REJECTED
t1-0,proof_byte,12701,xor01_from9c,VERIFY_REJECTED
t1-0,proof_byte,12702,xor01_frome5,VERIFY_REJECTED
t1-0,proof_byte,12703,xor01_from07,VERIFY_REJECTED
t1-0,proof_byte,12704,xor01_from23,VERIFY_REJECTED
t1-0,proof_byte,12705,xor01_from63,VERIFY_REJECTED
t1-0,proof_byte,12706,xor01_from3f,VERIFY_REJECTED
t1-0,proof_byte,12707,xor01_from7d,VERIFY_REJECTED
t1-0,proof_byte,12708,xor01_frome8,VERIFY_REJECTED
t1-0,proof_byte,12709,xor01_fromaa,VERIFY_REJECTED
t1-0,proof_byte,12710,xor01_from6f,VERIFY_REJECTED
t1-0,proof_byte,12711,xor01_from15,VERIFY_REJECTED
t1-0,proof_byte,12712,xor01_fromcb,VERIFY_REJECTED
