task,family,position,detail,verdict
t1-0,proof_byte,380,xor01_from00,DESERIALIZE_PANIC
t1-0,proof_byte,381,xor01_from00,DESERIALIZE_PANIC
t1-0,proof_byte,382,xor01_from00,DESERIALIZE_PANIC
t1-0,proof_byte,383,xor01_from02,DESERIALIZE_PANIC
t1-0,proof_byte,384,xor01_from57,VERIFY_REJECTED
t1-0,proof_byte,385,xor01_from98,VERIFY_REJECTED
t1-0,proof_byte,386,xor01_fromda,VERIFY_REJECTED
t1-0,proof_byte,387,xor01_from8f,VERIFY_REJECTED
t1-0,proof_byte,388,xor01_fromed,VERIFY_REJECTED
t1-0,proof_byte,389,xor01_fromc1,VERIFY_REJECTED
t1-0,proof_byte,390,xor01_fromf7,VERIFY_REJECTED
t1-0,proof_byte,391,xor01_from7d,VERIFY_REJECTED
t1-0,proof_byte,392,xor01_from12,VERIFY_REJECTED
t1-0,proof_byte,393,xor01_from8d,VERIFY_REJECTED
t1-0,proof_byte,394,xor01_from94,VERIFY_REJECTED
t1-0,proof_byte,395,xor01_from03,VERIFY_REJECTED
t1-0,proof_byte,396,xor01_from65,VERIFY_REJECTED
t1-0,proof_byte,397,xor01_fromb0,VERIFY_REJECTED
t1-0,proof_byte,398,xor01_from23,VERIFY_REJECTED
t1-0,proof_byte,399,xor01_from23,VERIFY_REJECTED
t1-0,proof_byte,400,xor01_from29,VERIFY_REJECTED
t1-0,proof_byte,401,xor01_fromfd,VERIFY_REJECTED
t1-0,proof_byte,402,xor01_fromb4,VERIFY_REJECTED
t1-0,proof_byte,403,xor01_from0d,VERIFY_REJECTED
t1-0,proof_byte,404,xor01_from56,VERIFY_REJECTED
t1-0,proof_byte,405,xor01_from82,VERIFY_REJECTED
t1-0,proof_byte,406,xor01_from73,VERIFY_REJECTED
t1-0,proof_byte,407,xor01_from3e,VERIFY_REJECTED
t1-0,proof_byte,408,xor01_fromd1,VERIFY_REJECTED
t1-0,proof_byte,409,xor01_fromeb,VERIFY_REJECTED
t1-0,proof_byte,410,xor01_from13,VERIFY_REJECTED
