task,family,position,detail,verdict
t1-0,proof_byte,9984,xor01_from39,VERIFY_REJECTED
t1-0,proof_byte,10048,xor01_from20,VERIFY_REJECTED
t1-0,proof_byte,10112,xor01_from171,VERIFY_REJECTED
t1-0,proof_byte,10176,xor01_from217,VERIFY_REJECTED
t1-0,proof_byte,10240,xor01_from54,VERIFY_REJECTED
t1-0,proof_byte,10304,xor01_from15,VERIFY_REJECTED
t1-0,proof_byte,10368,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,10432,xor01_from170,VERIFY_REJECTED
t1-0,proof_byte,10496,xor01_from128,VERIFY_REJECTED
t1-0,proof_byte,10560,xor01_from142,VERIFY_REJECTED
t1-0,proof_byte,10624,xor01_from135,VERIFY_REJECTED
t1-0,proof_byte,10688,xor01_from126,VERIFY_REJECTED
t1-0,proof_byte,10752,xor01_from237,VERIFY_REJECTED
t1-0,proof_byte,10816,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,10880,xor01_from52,VERIFY_REJECTED
t1-0,proof_byte,10944,xor01_from63,VERIFY_REJECTED
t1-0,proof_byte,11008,xor01_from13,VERIFY_REJECTED
t1-0,proof_byte,11072,xor01_from25,VERIFY_REJECTED
t1-0,proof_byte,11136,xor01_from17,VERIFY_REJECTED
t1-0,proof_byte,11200,xor01_from217,VERIFY_REJECTED
t1-0,proof_byte,11264,xor01_from150,VERIFY_REJECTED
t1-0,proof_byte,11328,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,11392,xor01_from76,VERIFY_REJECTED
t1-0,proof_byte,11456,xor01_from238,VERIFY_REJECTED
t1-0,proof_byte,11520,xor01_from140,VERIFY_REJECTED
t1-0,proof_byte,11584,xor01_from219,VERIFY_REJECTED
t1-0,proof_byte,11648,xor01_from157,VERIFY_REJECTED
t1-0,proof_byte,11712,xor01_from32,VERIFY_REJECTED
t1-0,proof_byte,11776,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,11840,xor01_from199,VERIFY_REJECTED
t1-0,proof_byte,11904,xor01_from23,VERIFY_REJECTED
t1-0,proof_byte,11968,xor01_from247,VERIFY_REJECTED
t1-0,proof_byte,12032,xor01_from159,VERIFY_REJECTED
t1-0,proof_byte,12096,xor01_from26,VERIFY_REJECTED
t1-0,proof_byte,12160,xor01_from187,VERIFY_REJECTED
t1-0,proof_byte,12224,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,12288,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,12352,xor01_from72,VERIFY_REJECTED
t1-0,proof_byte,12416,xor01_from58,VERIFY_REJECTED
t1-0,proof_byte,12480,xor01_from64,VERIFY_REJECTED
t1-0,proof_byte,12544,xor01_from236,VERIFY_REJECTED
t1-0,proof_byte,12608,xor01_from89,VERIFY_REJECTED
t1-0,proof_byte,12672,xor01_from206,VERIFY_REJECTED
t1-0,proof_byte,12736,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,12800,xor01_from107,VERIFY_REJECTED
t1-0,proof_byte,12864,xor01_from192,VERIFY_REJECTED
t1-0,proof_byte,12928,xor01_from235,VERIFY_REJECTED
t1-0,proof_byte,12992,xor01_from253,VERIFY_REJECTED
t1-0,proof_byte,13056,xor01_from109,VERIFY_REJECTED
t1-0,proof_byte,13120,xor01_from208,VERIFY_REJECTED
t1-0,proof_byte,13184,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,13248,xor01_from115,VERIFY_REJECTED
t1-0,proof_byte,13312,xor01_from110,VERIFY_REJECTED
t1-0,proof_byte,13376,xor01_from45,VERIFY_REJECTED
t1-0,proof_byte,13440,xor01_from101,VERIFY_REJECTED
t1-0,proof_byte,13504,xor01_from87,VERIFY_REJECTED
t1-0,proof_byte,13568,xor01_from238,VERIFY_REJECTED
t1-0,proof_byte,13632,xor01_from71,VERIFY_REJECTED
t1-0,proof_byte,13696,xor01_from238,VERIFY_REJECTED
t1-0,proof_byte,13760,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,13824,xor01_from29,VERIFY_REJECTED
t1-0,proof_byte,13888,xor01_from74,VERIFY_REJECTED
t1-0,proof_byte,13952,xor01_from136,VERIFY_REJECTED
t1-0,proof_byte,14016,xor01_from236,VERIFY_REJECTED
t1-0,proof_byte,14080,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,14144,xor01_from192,VERIFY_REJECTED
t1-0,proof_byte,14208,xor01_from254,VERIFY_REJECTED
t1-0,proof_byte,14272,xor01_from216,VERIFY_REJECTED
t1-0,proof_byte,14336,xor01_from122,VERIFY_REJECTED
t1-0,proof_byte,14400,xor01_from16,VERIFY_REJECTED
t1-0,proof_byte,14464,xor01_from181,VERIFY_REJECTED
t1-0,proof_byte,14528,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,14592,xor01_from233,VERIFY_REJECTED
t1-0,proof_byte,14656,xor01_from97,VERIFY_REJECTED
t1-0,proof_byte,14720,xor01_from84,VERIFY_REJECTED
t1-0,proof_byte,14784,xor01_from193,VERIFY_REJECTED
