size,log_inv_rate,rep,span,bucket,subbucket,self_nanos,hits
2048,1,2,"Regather per-limb evals",d,d_evals,5863666,1
2048,1,2,"Expand evaluation suffix query",d,d_tensor_expand,5709,2
2048,1,2,"Commit pushforwards",d,d_phase_glue,1666,1
2048,1,2,"Reed–Solomon Encode",d,d_ntt_encode,3750,2
2048,1,2,"build_monster_segments",d,d_shift_multilinear_build,8080625,1
2048,1,2,"fri::FRIQueryProver::prove_queries",d,d_pcs_query_open,128000,1
2048,1,2,"fold_codeword",d,d_fri_codeword_fold,162375,2
2048,1,2,"Compute univariate LDE table",a,a_univariate_round,80458,1
2048,1,2,"e001_sumcheck_execute",a,a_sumcheck_round_poly,135956914,473
2048,1,2,"[phase] Shift Reduction",d,d_phase_glue,23043,1
2048,1,2,"Compute batched witness",d,d_basefold_glue,795542,1
2048,1,2,"Batched constant-base prodcheck",d,d_prodcheck,7786042,1
2048,1,2,"build_g",d,d_shift_multilinear_build,10927624,2
2048,1,2,"Compute ring-switching partial evaluations",d,d_ring_switch,1946917,2
2048,1,2,"run_sumcheck",a,a_sumcheck_driver,2107877,2
2048,1,2,"Prove",d,d_prove_root,274211,1
2048,1,2,"[phase] IntMul check",d,d_phase_glue,708415,1
2048,1,2,"Compute base layer partial evals",d,d_prodcheck,5798167,1
2048,1,2,"Basefold MLE-check ZK (batched)",a,a_sumcheck_driver,555792,1
2048,1,2,"Prepare witness",d,d_witness_prep,105917,1
2048,1,2,"MLE-check remaining rounds",a,a_sumcheck_driver,8708,1
2048,1,2,"e001_sumcheck_fold",a,a_sumcheck_fold,16511585,473
2048,1,2,"[phase] BitAnd check",d,d_phase_glue,5417,1
2048,1,2,"FRI Fold",d,d_fri_codeword_fold,3375,2
2048,1,2,"Final batched sumcheck",a,a_sumcheck_driver,13837,1
2048,1,2,"Reed-Solomon encode",d,d_ntt_encode,5930542,2
2048,1,2,"Compute univariate round message",a,a_univariate_round,2776500,1
2048,1,2,"prover_phase_1",d,d_phase_glue,4042,1
2048,1,2,"Assemble columns",d,d_column_assembly,5630417,2
2048,1,2,"Evaluate exponent root",d,d_evals,147333,1
2048,1,2,"prove_phase_2",d,d_phase_glue,939000,1
2048,1,2,"Variable-base product check",d,d_prodcheck,88162,1
2048,1,2,"Fold univariate round",a,a_sumcheck_fold,909500,1
2048,1,2,"logup* pushforward reduction",a,a_sumcheck_driver,70377,1
2048,1,2,"logup* (committed)",d,d_phase_glue,5292,1
2048,1,2,"Build IntMul witness",d,d_witness_prep,4416,1
2048,1,2,"fri::FRIFolder::finalize",d,d_fri_finalize,125,1
2048,1,2,"e001_merkle_inner_nodes",b1,b1_merkle_inner_nodes,1588501,5
2048,1,2,"FRI Round Fold",d,d_fri_codeword_fold,957,2
2048,1,2,"Combined GKR",a,a_sumcheck_driver,269210,1
2048,1,2,"Commit witness",d,d_commit_glue,1500,1
2048,1,2,"Compute fixed-base prodcheck layers",d,d_prodcheck,10350042,1
2048,1,2,"Fold index columns by rho",a,a_sumcheck_fold,3123208,1
2048,1,3,"Build power tables",d,d_witness_prep,699792,1
2048,1,3,"build_g",d,d_shift_multilinear_build,11005584,2
2048,1,3,"Reed-Solomon encode",d,d_ntt_encode,5962208,2
2048,1,3,"prove_phase_2",d,d_phase_glue,950542,1
2048,1,3,"fri::FRIQueryProver::prove_queries",d,d_pcs_query_open,124791,1
2048,1,3,"Compute batched witness",d,d_basefold_glue,787708,1
2048,1,3,"fold_codeword",d,d_fri_codeword_fold,173458,2
2048,1,3,"Build embedding table",d,d_column_assembly,332833,1
2048,1,3,"e001_sumcheck_fold",a,a_sumcheck_fold,17823043,473
